transaction_id,transaction_timestamp,customer_id,product_id,product_name,product_category,transaction_price,list_price,quantity,total_amount,payment_method,store_location,source_file,ingestion_timestamp,processed_timestamp
ADD0000,2025-02-12T04:04:55.080-05:00,C7882,P943,T-Shirt,Clothing,45.630001068115234,390.36,1,45.63,Gift Card,Chicago,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
ADD0001,2025-02-12T04:02:24.080-05:00,C7335,P262,Non-Stick Pan,Home & Kitchen,365.6000061035156,178.24,5,1828.0,Mobile Payment,Phoenix,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
ADD0002,2025-02-12T04:01:23.080-05:00,C1167,P142,Business Book,Books,142.5500030517578,235.68,4,570.2,Gift Card,Chicago,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
ADD0003,2025-02-12T04:03:46.080-05:00,C7582,P213,Dollhouse,Toys,225.69000244140625,292.24,3,677.07,Debit Card,San Francisco,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
ADD0004,2025-02-12T04:03:48.080-05:00,C8449,P683,Jeans,Clothing,260.739990234375,79.05,4,1042.96,Credit Card,New York,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
ADD0005,2025-02-12T04:01:00.080-05:00,C5031,P757,Hoodie,Clothing,115.0,468.57,5,575.0,Cash,New York,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
ADD0006,2025-02-12T04:04:35.080-05:00,C2319,P544,Basketball,Sports,118.61000061035156,156.1,4,474.44,Mobile Payment,San Francisco,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
ADD0006,2025-02-12T04:04:35.080-05:00,C2319,P544,Mystery Thriller,Books,118.61000061035156,194.28,4,474.44,Mobile Payment,San Francisco,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
ADD0006,2025-02-12T04:04:35.080-05:00,C2319,P544,Blender,Home & Kitchen,118.61000061035156,27.65,4,474.44,Mobile Payment,San Francisco,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
ADD0007,2025-02-12T04:01:01.080-05:00,C7994,P143,Coffee Maker,Home & Kitchen,277.6000061035156,136.84,2,555.2,Mobile Payment,Los Angeles,file:///home/ubuntu/dataengineer-transformations-python/finchmart_sales_etl/data/raw/Mock_Sales_Data_-_Another_5_Minutes.csv,2025-11-03T19:58:18.686-05:00,2025-11-03T19:58:23.501-05:00
